,usrec,unrate,cpiaucsl,indpro,m2sl,wtisplc,icsa,houst,gs10,tb3ms,baa,ppiaco,usalolitoaastsam,sp500,precio_oro,yield_spread,credit_spread,target_6m,target_12m
1967-01-31,0.0,3.9,32.9,35.225,481.6,2.97,204000.0,1067.0,4.58,4.72,5.97,33.4,98.7046576320325,86.61000061035156,34.95,-0.1399999999999996,1.3899999999999997,0.0,0.0
1967-02-28,0.0,3.8,33.0,34.8255,485.1,3.0,242000.0,1123.0,4.63,4.56,5.82,33.4,98.602830961764,86.77999877929688,34.95,0.0700000000000002,1.1900000000000004,0.0,0.0
1967-03-31,0.0,3.8,33.0,34.6292,489.7,3.0,247000.0,1056.0,4.54,4.26,5.85,33.3,98.6196490215514,90.1999969482422,34.95,0.2800000000000002,1.3099999999999996,0.0,0.0
1967-04-30,0.0,3.8,33.1,34.9558,492.1,3.0,255000.0,1091.0,4.59,3.84,5.83,33.1,98.7589271946642,94.01000213623048,34.95,0.75,1.2400000000000002,0.0,0.0
1967-05-31,0.0,3.8,33.1,34.6508,497.2,3.0,228000.0,1304.0,4.85,3.6,5.96,33.3,99.0072035902088,89.08000183105469,34.95,1.2499999999999996,1.1100000000000003,0.0,0.0
1967-06-30,0.0,3.9,33.3,34.6465,502.0,3.0,218000.0,1248.0,5.02,3.54,6.15,33.5,99.3171673871721,90.63999938964844,34.95,1.4799999999999995,1.1300000000000008,0.0,0.0
1967-07-31,0.0,3.8,33.4,34.5676,506.3,3.0,209000.0,1364.0,5.16,4.21,6.26,33.5,99.6491591296787,94.75,34.95,0.9500000000000002,1.0999999999999996,0.0,0.0
1967-08-31,0.0,3.8,33.5,35.2299,510.8,3.07,213000.0,1407.0,5.28,4.27,6.33,33.4,99.9692224318272,93.63999938964844,34.95,1.010000000000001,1.0499999999999998,0.0,0.0
1967-09-30,0.0,3.8,33.6,35.1727,514.7,3.07,204000.0,1421.0,5.3,4.42,6.4,33.4,100.244920765167,96.70999908447266,34.95,0.8799999999999999,1.1000000000000003,0.0,0.0
1967-10-31,0.0,4.0,33.7,35.4591,518.2,3.07,207000.0,1491.0,5.48,4.56,6.52,33.4,100.464266204504,93.3000030517578,34.95,0.9200000000000008,1.0399999999999991,0.0,0.0
1967-11-30,0.0,3.9,33.9,35.9663,521.2,3.07,191000.0,1538.0,5.75,4.73,6.72,33.4,100.622844006507,94.0,34.95,1.0199999999999996,0.9699999999999998,0.0,0.0
1967-12-31,0.0,3.8,34.0,36.3536,524.8,3.07,216000.0,1308.0,5.7,4.97,6.93,33.7,100.721988583725,96.47000122070312,34.95,0.7300000000000004,1.2299999999999995,0.0,0.0
1968-01-31,0.0,3.7,34.1,36.3145,527.4,3.07,198000.0,1380.0,5.53,5.0,6.84,33.8,100.758009585753,92.23999786376952,35.5,0.5300000000000002,1.3099999999999996,0.0,0.0
1968-02-29,0.0,3.8,34.2,36.4446,530.4,3.07,193000.0,1520.0,5.56,4.98,6.8,34.0,100.761443437325,89.36000061035156,36.0,0.5799999999999992,1.2400000000000002,0.0,0.0
1968-03-31,0.0,3.7,34.3,36.5584,533.2,3.07,192000.0,1466.0,5.74,5.17,6.85,34.1,100.753260960724,90.1999969482422,37.0,0.5700000000000003,1.1099999999999994,0.0,0.0
