modelo,condicion,pr_auc,auc_roc,recall,f1_score,umbral_mediano
Baseline LR,balanced,0.6147976515273097,0.783006294221012,0.6666666666666666,0.27308140150312266,0.6543427530031798
Baseline LR,smote,0.6005893838881268,0.7803223042638365,0.5833333333333333,0.2815107623059611,0.6330332951781417
Random Forest,smote,0.5983673351619994,0.7599239078573755,0.125,0.16666666666666666,0.4287104978354978
Random Forest,balanced,0.560958258334848,0.7493594135479216,0.125,0.16666666666666666,0.4671541307933191
Baseline LR,none,0.5342389349734089,0.755974746020109,0.25,0.07142857142857142,0.4309925808867979
XGBoost,none,0.5110793580239624,0.716334936345017,0.25,0.2604166666666667,0.31730829179286957
XGBoost,balanced,0.5075449428401086,0.7395747873318438,0.28125,0.1845238095238095,0.37125787138938904
Random Forest,none,0.4697602315576261,0.7262519346692734,0.13541666666666666,0.20779220779220778,0.5442860051168875
LightGBM,none,0.4632752888938698,0.6990628309302704,0.2638888888888889,0.2857142857142857,0.4609158837697227
XGBoost,smote,0.4390763540544094,0.657641907263883,0.46875,0.41875,0.44060149788856506
LightGBM,balanced,0.42694401393920034,0.7919766865079365,0.9375,0.321967424608934,0.11950988020613484
LightGBM,smote,0.39687864588684907,0.6290156206360843,0.21875,0.14,0.5492475383351633
